label,horizon_months,awarding_agency_code,naics2,type_of_contract_pricing_code,value_quintile,n,mean,parent,shrunk
ceiling_growth_gt25,36,020,32,J,1,1,0.0,0.16515437558785598,0.1598268150850219
ceiling_growth_gt25,36,075,61,Y,3,1,0.0,0.1583256001223231,0.15321832269902236
ceiling_growth_gt25,36,070,81,Y,4,1,0.0,0.16432340263921233,0.15902264771536678
ceiling_growth_gt25,36,339,54,J,3,1,0.0,0.2693483109751148,0.26065965578236916
ceiling_growth_gt25,36,013,61,Y,1,1,0.0,0.21143828693016728,0.20461769702919413
ceiling_growth_gt25,36,014,61,J,4,1,0.0,0.33012421917105683,0.31947505081070016
ceiling_growth_gt25,36,069,81,Y,3,1,0.0,0.22799796326162675,0.22064319025318718
ceiling_growth_gt25,36,089,92,J,3,1,0.0,0.20578686314366454,0.1991485772358044
ceiling_growth_gt25,36,013,48,Y,0,1,1.0,0.16535426533170375,0.19227832128874556
ceiling_growth_gt25,36,069,49,Z,1,1,1.0,0.24870334705811603,0.2729387229594671
ceiling_growth_gt25,36,031,54,Y,3,1,0.0,0.07654343494002419,0.07407429187744276
ceiling_growth_gt25,36,1601,54,B,4,1,0.0,0.28334393782981054,0.27420381080304246
ceiling_growth_gt25,36,069,53,J,4,1,0.0,0.2620105776184558,0.2535586235017314
ceiling_growth_gt25,36,1125,56,J,2,1,1.0,0.24223959970990716,0.26668348359023275
ceiling_growth_gt25,36,097,71,U,2,1,0.0,0.06388534166892607,0.061824524195734906
ceiling_growth_gt25,36,086,56,J,0,1,0.0,0.19015096819033514,0.1840170659906469
ceiling_growth_gt25,36,068,51,J,4,1,0.0,0.12836540624201667,0.12422458668582258
ceiling_growth_gt25,36,031,72,J,2,1,0.0,0.09790003593576349,0.09474197026041628
ceiling_growth_gt25,36,014,71,J,1,1,0.0,0.20470223546930955,0.1980989375509447
ceiling_growth_gt25,36,029,51,J,4,1,0.0,0.2132589140454912,0.20637959423757213
ceiling_growth_gt25,36,069,48,J,1,1,0.0,0.3522332933550688,0.34087092905329236
