projectid,icr_outratingind,iegapi_outcome,txturl,doc_icr,doc_ieg,note,api_matches_document,repaired_matches_document
P157035,Moderately Unsatisfactory,Moderately Unsatisfactory,http://documents.worldbank.org/curated/en/386661593006623305/text/Afghanistan-Technical-Assistance-Facility.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P122229,Moderately Unsatisfactory,Moderately Unsatisfactory,http://documents.worldbank.org/curated/en/099011724210510662/text/P12222910bfdc40d41a1b91404e5b380feb.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P116696,Moderately Unsatisfactory,Moderately Unsatisfactory,http://documents.worldbank.org/curated/en/099100423092511739/text/P1166961d1ced33b18d6c14d701a8bf14f063ad73b6b.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P074235,Moderately Unsatisfactory,Moderately Unsatisfactory,http://documents.worldbank.org/curated/en/311331475869339760/text/ICRR-Disclosable-P074235-10-07-2016-1475869317954.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P160500,Moderately Unsatisfactory,Moderately Unsatisfactory,http://documents.worldbank.org/curated/en/099062623130521823/text/P1605000dc41790b30bb9b003702b87e8f0.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P146344,Moderately Unsatisfactory,Moderately Unsatisfactory,http://documents.worldbank.org/curated/en/099032624180041467/text/P14634415a56c806319fd41dbee512ba51d.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P131655,Moderately Unsatisfactory,Moderately Unsatisfactory,http://documents.worldbank.org/curated/en/099062023092024391/text/P131655095136d0230988705d90e909b8f0.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P144135,Moderately Unsatisfactory,Unsatisfactory,https://documents.worldbank.org/curated/en/099050625091561402/text/P144135-f3629245-9524-4060-8127-18bcd76558fa.txt,Unsatisfactory,Unsatisfactory,ok,False,False
P166447,Moderately Unsatisfactory,Moderately Unsatisfactory,https://documents.worldbank.org/curated/en/099122725171511079/text/P166447-7cb2d679-2490-4405-96fe-392117cee843.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P127245,Moderately Unsatisfactory,Highly Unsatisfactory,http://documents.worldbank.org/curated/en/251601579636901753/text/Brazil-BR-Rio-de-Janeiro-Mun-Strengthening-PSM.txt,Highly Unsatisfactory,Unsatisfactory,ok,False,False
P151544,Moderately Unsatisfactory,Moderately Unsatisfactory,http://documents.worldbank.org/curated/en/329191580741398788/text/India-MSME-Innovation-and-Inclusion-Project.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P164242,Moderately Unsatisfactory,Moderately Unsatisfactory,https://documents.worldbank.org/curated/en/099021726094523305/text/P164242-49183931-80cc-4fc0-9f8d-4c4c36e33114.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P133531,Moderately Unsatisfactory,Moderately Unsatisfactory,http://documents.worldbank.org/curated/en/099315011232235656/text/P13353103f2d07098086c303ffcc49b01aa.txt,Moderately Unsatisfactory,Moderately Unsatisfactory,ok,True,True
P160641,Substantial,Satisfactory,https://documents.worldbank.org/curated/en/099061025152086670/text/P160641-c95cf5d5-0058-4571-9e30-7da4dd7801eb.txt,Satisfactory,Satisfactory,ok,False,True
