projectid,txturl
P044343,http://documents.worldbank.org/curated/en/700281468750532098/text/multi0page.txt
P044523,http://documents.worldbank.org/curated/en/245571468743173386/text/multi-page.txt
P044531,http://documents.worldbank.org/curated/en/331451468774669073/text/multi0page.txt
P044584,http://documents.worldbank.org/curated/en/265211468749726440/text/multi-page.txt
P044585,http://documents.worldbank.org/curated/en/417461468770692422/text/multi-page.txt
P044601,http://documents.worldbank.org/curated/en/655511468776370151/text/multi0page.txt
P044613,http://documents.worldbank.org/curated/en/693901468770964529/text/259420ET02nd0Road0Sector0Dev0Project0PAD.txt
P044679,http://documents.worldbank.org/curated/en/588481468779155929/text/multi-page.txt
P044695,http://documents.worldbank.org/curated/en/414251468760231906/text/multi-page.txt
P044711,http://documents.worldbank.org/curated/en/393851468774662018/text/multi0page.txt
P044748,http://documents.worldbank.org/curated/en/392831468768598958/text/multi0page.txt
P044789,http://documents.worldbank.org/curated/en/568241468743378284/text/multi-page.txt
P044800,http://documents.worldbank.org/curated/en/220211468749762082/text/multi0page.txt
P044803,http://documents.worldbank.org/curated/en/610221468764706731/text/multi0page.txt
P044804,http://documents.worldbank.org/curated/en/598551468772470021/text/multi-page.txt
P044809,http://documents.worldbank.org/curated/en/834711468777975177/text/multi-page.txt
P044810,http://documents.worldbank.org/curated/en/217041468768667449/text/multi0page.txt
P044811,http://documents.worldbank.org/curated/en/811101468742545031/text/multi-page.txt
P044824,http://documents.worldbank.org/curated/en/598391468771712088/text/multi0page.txt
P044829,http://documents.worldbank.org/curated/en/926141468742816355/text/multi-page.txt
P044840,http://documents.worldbank.org/curated/en/987281468779678423/text/multi-page.txt
P044852,http://documents.worldbank.org/curated/en/821931468768591417/text/multi0page.txt
P044876,http://documents.worldbank.org/curated/en/543221468742526737/text/multi0page.txt
P044973,http://documents.worldbank.org/curated/en/556621468774291767/text/multi-page.txt
P045031,http://documents.worldbank.org/curated/en/538831468765908736/text/multi-page.txt
