projectid,id,docdt,reject_reason
P132268,19628132,2013-02-04T05:00:00Z,later_version_within_grace_window
P132311,18381845,2013-06-28T04:00:00Z,same_date_duplicate_or_translation
P132314,17617994,2013-02-06T05:00:00Z,same_date_duplicate_or_translation
P132381,26566453,2014-05-20T04:00:00Z,same_date_duplicate_or_translation
P132405,23065736,2014-07-02T04:00:00Z,same_date_duplicate_or_translation
P132846,24982933,2015-03-06T05:00:00Z,same_date_duplicate_or_translation
P133193,25486908,2015-04-30T04:00:00Z,same_date_duplicate_or_translation
P133226,25835679,2013-07-15T04:00:00Z,later_version_within_grace_window
P133288,24734931,2015-03-09T04:00:00Z,same_date_duplicate_or_translation
P143185,26548293,2016-03-02T05:00:00Z,same_date_duplicate_or_translation
P143334,25468671,2015-06-11T04:00:00Z,same_date_duplicate_or_translation
P143492,25058326,2015-01-27T05:00:00Z,same_date_duplicate_or_translation
P143495,27372021,2016-12-12T05:00:00Z,same_date_duplicate_or_translation
P143594,24768951,2014-07-08T04:00:00Z,same_date_duplicate_or_translation
P143689,26249206,2015-04-03T04:00:00Z,same_date_duplicate_or_translation
P143715,18498738,2013-06-04T04:00:00Z,same_date_duplicate_or_translation
P143979,18773017,2013-09-30T04:00:00Z,same_date_duplicate_or_translation
P143996,19531180,2013-07-09T04:00:00Z,same_date_duplicate_or_translation
P144134,19761825,2013-01-24T05:00:00Z,later_version_within_grace_window
P144271,24139706,2014-11-17T05:00:00Z,same_date_duplicate_or_translation
P144489,18369215,2013-06-28T04:00:00Z,same_date_duplicate_or_translation
P144500,23069400,2013-06-27T04:00:00Z,same_date_duplicate_or_translation
P144539,26261249,2016-03-29T04:00:00Z,same_date_duplicate_or_translation
P144539,26739991,2016-03-29T04:00:00Z,same_date_duplicate_or_translation
P144674,18705343,2013-11-05T05:00:00Z,same_date_duplicate_or_translation
P144832,26586772,2013-10-01T04:00:00Z,later_version_within_grace_window
P145361,19588140,2014-05-07T04:00:00Z,same_date_duplicate_or_translation
P145529,19737537,2014-04-03T04:00:00Z,same_date_duplicate_or_translation
P145686,26611861,2016-06-01T04:00:00Z,same_date_duplicate_or_translation
P145782,20160263,2014-03-05T05:00:00Z,same_date_duplicate_or_translation
P145848,25244093,2014-04-08T04:00:00Z,later_version_within_grace_window
P145865,26586564,2013-07-03T04:00:00Z,same_date_duplicate_or_translation
P146055,19389521,2014-02-11T05:00:00Z,same_date_duplicate_or_translation
P146244,20352948,2014-03-06T05:00:00Z,same_date_duplicate_or_translation
P146312,19374012,2014-02-04T05:00:00Z,same_date_duplicate_or_translation
P146502,26680338,2015-06-03T04:00:00Z,later_version_within_grace_window
P146502,26777298,2015-06-16T04:00:00Z,same_date_duplicate_or_translation
P147006,19566279,2014-02-18T05:00:00Z,same_date_duplicate_or_translation
P147158,29249316,2017-09-26T04:00:00Z,same_date_duplicate_or_translation
P147185,24052163,2014-10-02T04:00:00Z,same_date_duplicate_or_translation
