column,dtype,non_null,distinct,known_at_board_approval,source,observed_values_if_few
totalamt,float64,3747,1190,True,derived in src/dataset.py or Projects API scalar field,
grantamt,float64,4248,828,True,derived in src/dataset.py or Projects API scalar field,
idacommamt,float64,3747,791,True,derived in src/dataset.py or Projects API scalar field,
curr_ibrd_commitment,float64,3748,647,False,derived in src/dataset.py or Projects API scalar field,
curr_ida_commitment,float64,3747,791,False,derived in src/dataset.py or Projects API scalar field,
curr_total_commitment,float64,4248,1710,False,derived in src/dataset.py or Projects API scalar field,
borrower,str,2095,930,True,derived in src/dataset.py or Projects API scalar field,
impagency,str,2222,1920,True,derived in src/dataset.py or Projects API scalar field,
major_sector_code,str,4253,348,True,derived in src/dataset.py or Projects API scalar field,
major_sector_name,str,4253,449,True,derived in src/dataset.py or Projects API scalar field,
sector_name,str,4253,1969,True,derived in src/dataset.py or Projects API scalar field,
sectorcode,str,4253,1969,True,derived in src/dataset.py or Projects API scalar field,
sector_percent,str,4253,1941,True,derived in src/dataset.py or Projects API scalar field,
theme,str,4253,3175,True,derived in src/dataset.py or Projects API scalar field,
themecode,str,4253,3175,True,derived in src/dataset.py or Projects API scalar field,
pdo,str,4228,4213,True,derived in src/dataset.py or Projects API scalar field,
project_abstract,str,4222,4203,True,derived in src/dataset.py or Projects API scalar field,
ms_concpt_review_date,str,4136,2756,False,Projects API milestones block,
ms_begin_apprsl_date,str,4220,2664,False,Projects API milestones block,
ms_apprvl_date,str,4253,1827,False,Projects API milestones block,
ms_effctvnss_date,str,4176,2884,False,Projects API milestones block,
ms_icr_nco_date,str,4251,2063,False,Projects API milestones block,
ms_decsn_review_date,str,3698,2475,False,Projects API milestones block,
n_isr_ratings,int64,4253,13,False,derived in src/dataset.py or Projects API scalar field,
isr_first_pdo_rating,str,3680,6,False,Projects API isr_ratings block (POST-approval),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Satisfactory; Unsatisfactory
isr_first_pdo_date,str,3680,2215,False,Projects API isr_ratings block (POST-approval),
isr_last_pdo_rating,str,3680,6,False,Projects API isr_ratings block (POST-approval),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Satisfactory; Unsatisfactory
isr_last_pdo_date,str,3680,2215,False,Projects API isr_ratings block (POST-approval),
isr_first_ip_rating,str,3894,6,False,Projects API isr_ratings block (POST-approval),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Satisfactory; Unsatisfactory
isr_first_ip_date,str,3894,2294,False,Projects API isr_ratings block (POST-approval),
isr_last_ip_rating,str,3894,6,False,Projects API isr_ratings block (POST-approval),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Satisfactory; Unsatisfactory
isr_last_ip_date,str,3894,2294,False,Projects API isr_ratings block (POST-approval),
icr_bankqualityentry,str,2732,5,False,Projects API icr_ratings block (Bank self-rating),Highly Satisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Not Rated; Substantial
icr_bankqualityentry__n_distinct,int64,4253,2,False,Projects API icr_ratings block (Bank self-rating),0; 1
icr_banksupervision,str,2769,7,False,Projects API icr_ratings block (Bank self-rating),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Not Rated; Substantial; Unsatisfactory
icr_banksupervision__n_distinct,int64,4253,6,False,Projects API icr_ratings block (Bank self-rating),0; 1; 2; 3; 4; 5
icr_borrgovt,str,2049,7,False,Projects API icr_ratings block (Bank self-rating),Highly Satisfactory; Highly Unsatisfactory; Moderately Satisfactory; Moderately Unsatisfactory; Not Applicable; Substantial; Unsatisfactory
icr_borrgovt__n_distinct,int64,4253,2,False,Projects API icr_ratings block (Bank self-rating),0; 1
