label,horizon,vehicle,n_holders,oracle_gap,recovered_gap,train_gap,n_test_orders
schedule_slip_gt365,12,SOL|4730|3QSAJB100001B,2,0.0,0.0,0.1,10
schedule_slip_gt365,12,SOL|4730|47QSMD20R0001,2,0.1111111111111111,-0.1111111111111111,0.08838383838383837,39
schedule_slip_gt365,12,SOL|4730|7FCBC4070066B,3,0.0,0.0,0.007575757575757576,45
schedule_slip_gt365,12,SOL|4730|7FCIL3030084B,2,0.2,-0.2,0.2,10
schedule_slip_gt365,12,SOL|4730|FCISJB980001B,13,0.3333333333333333,0.0,0.4,93
schedule_slip_gt365,12,SOL|4730|FCO00CORP0000C,5,0.25,0.25,0.6,20
schedule_slip_gt365,12,SOL|4730|FFAHC2990235B,3,0.0,0.0,0.0,15
schedule_slip_gt365,12,SOL|4730|TFTPMC000874B,6,0.25,0.25,0.05263157894736842,36
schedule_slip_gt365,12,SOL|4732|3QSAJB100001B,11,0.15789473684210525,0.058823529411764705,0.041666666666666664,178
schedule_slip_gt365,12,SOL|4732|6FECE6030292B,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,29
schedule_slip_gt365,12,SOL|4732|7FCBC4070066B,5,0.17647058823529413,-0.17647058823529413,0.14285714285714285,87
schedule_slip_gt365,12,SOL|4732|7FCBH2070541B,3,0.2857142857142857,0.16666666666666666,0.25,19
schedule_slip_gt365,12,SOL|4732|7FCIF8030056B,6,0.0,0.0,0.3333333333333333,29
schedule_slip_gt365,12,SOL|4732|7FCIL3030084B,11,0.16666666666666666,0.023809523809523808,0.2,102
schedule_slip_gt365,12,SOL|4732|FCISJB980001B,39,0.25,0.0,0.6666666666666666,615
schedule_slip_gt365,12,SOL|4732|FCO00CORP0000C,38,0.75,-0.017199017199017202,0.3,364
schedule_slip_gt365,12,SOL|4732|FFAHC2990235B,7,0.0,0.0,0.0,123
schedule_slip_gt365,12,SOL|4732|GS00Q13DR0001,21,0.3333333333333333,-0.04273504273504275,0.6666666666666666,263
schedule_slip_gt365,12,SOL|4732|GS00Q13DR0002,20,0.4,0.16666666666666666,0.3333333333333333,153
schedule_slip_gt365,12,SOL|4732|QTA0015MDA2001,42,0.25,0.0,0.3333333333333333,206
schedule_slip_gt365,12,SOL|4732|TFTPEW990899B,2,0.0,0.0,0.0,9
schedule_slip_gt365,12,SOL|4732|TFTPMC000874B,4,0.0,0.0,0.25,26
schedule_slip_gt365,12,SOL|4732|TFTPMC990871B,2,0.0625,0.0,0.0,20
schedule_slip_gt365,12,SOL|4740|GS07P15HHD0002,3,0.0,0.0,0.0,13
schedule_slip_gt365,12,SOL|7001|HSHQDC12R00005,10,0.043478260869565216,0.043478260869565216,0.10344827586206896,493
schedule_slip_gt365,12,SOL|7529|NIHJT2010001,11,0.3076923076923077,0.25,0.4,107
schedule_slip_gt365,12,SOL|7529|NIHJT2010002,22,0.5,0.04999999999999999,0.5,142
schedule_slip_gt365,12,SOL|7529|NIHJT2014002,30,0.2,-0.041666666666666664,0.16666666666666666,447
schedule_slip_gt365,12,SOL|8000|NNG13451284R,95,0.3,-0.04054054054054054,0.3333333333333333,7956
schedule_slip_gt365,12,SOL|9700|FA251713R5000,3,0.0,0.0,0.012987012987012988,34
schedule_slip_gt365,12,SOL|9700|FA489014R0023,4,0.09090909090909091,0.0,0.2,30
schedule_slip_gt365,12,SOL|9700|FA520515R0006,3,0.0,0.0,0.0,12
schedule_slip_gt365,12,SOL|9700|FA520911R0004,3,0.0,0.0,0.0,16
schedule_slip_gt365,12,SOL|9700|FA527014R0019,2,0.0,0.0,0.0,14
schedule_slip_gt365,12,SOL|9700|FA805614R0001,4,0.0,0.0,0.0,21
schedule_slip_gt365,12,SOL|9700|FA810814R0001,4,0.11904761904761904,0.1,0.3333333333333333,50
schedule_slip_gt365,12,SOL|9700|FA877108R0016,2,0.0,0.0,0.007359215017064845,10
schedule_slip_gt365,12,SOL|9700|FA890315R0038,5,0.75,0.0,0.0,17
schedule_slip_gt365,12,SOL|9700|FA890315R0049,3,0.25,0.0,0.16666666666666666,13
schedule_slip_gt365,12,SOL|9700|H9222214R0021,4,0.05,0.0,0.0,41
schedule_slip_gt365,12,SOL|9700|H9222215R0010,3,0.0,0.0,0.05405405405405406,39
schedule_slip_gt365,12,SOL|9700|HQ072715R0001,4,0.07692307692307693,0.0,0.0,165
schedule_slip_gt365,12,SOL|9700|HTC71115RW002,8,0.0,0.0,0.0,78
schedule_slip_gt365,12,SOL|9700|N0002415R4405,2,0.05,0.0,0.0,26
schedule_slip_gt365,12,SOL|9700|N0003910R0001,2,0.0,0.0,0.001054910887790795,11
schedule_slip_gt365,12,SOL|9700|N0003913R0013,2,0.0,0.0,0.0,20
schedule_slip_gt365,12,SOL|9700|N4008415R0100,2,0.0,0.0,0.0,6
schedule_slip_gt365,12,SOL|9700|N5523615R0008,4,0.0,0.0,0.0,29
schedule_slip_gt365,12,SOL|9700|N6247813R4010,2,0.0,0.0,0.0,16
schedule_slip_gt365,12,SOL|9700|N6247815R4029,3,0.0,0.0,0.0,10
schedule_slip_gt365,12,SOL|9700|N6523613R0016,5,0.0,0.0,0.0,83
schedule_slip_gt365,12,SOL|9700|N6554012R0018,2,0.0,0.0,0.1429316640584246,25
schedule_slip_gt365,12,SOL|9700|N6554013R0052,6,0.09090909090909091,0.09090909090909091,0.1,44
schedule_slip_gt365,12,SOL|9700|W52P1J11R0171,15,0.2857142857142857,-0.036585365853658534,0.1,832
schedule_slip_gt365,12,SOL|9700|W52P1J13R0098,2,0.0,0.0,0.0,13
schedule_slip_gt365,12,SOL|9700|W90FYQ14R0001,3,0.14285714285714285,0.0,0.0,27
schedule_slip_gt365,12,SOL|9700|W9124D14R0004,3,0.0,0.0,0.05555555555555555,16
schedule_slip_gt365,12,SOL|9700|W9127815R0044,2,0.0,0.0,0.0,15
schedule_slip_gt365,12,SOL|9700|W912DY12R0025,4,0.0,0.0,0.2777777777777778,19
schedule_slip_gt365,24,SOL|3600|VA11815R0558,12,0.6666666666666667,0.38888888888888884,0.7777777777777778,77
schedule_slip_gt365,24,SOL|4730|3FNJC1000001B,3,0.2727272727272727,-0.0727272727272727,0.2678571428571428,21
schedule_slip_gt365,24,SOL|4730|3QSAJB100001B,2,0.0,0.0,0.2,10
schedule_slip_gt365,24,SOL|4730|47QSMD20R0001,2,0.4444444444444444,-0.4444444444444444,0.10858585858585858,39
schedule_slip_gt365,24,SOL|4730|7FCBC4070066B,3,0.030303030303030304,0.030303030303030304,0.08333333333333333,45
schedule_slip_gt365,24,SOL|4730|7FCIL3030084B,2,0.0,0.0,0.2,10
schedule_slip_gt365,24,SOL|4730|FCISJB980001B,13,1.0,0.1388888888888889,0.5,93
schedule_slip_gt365,24,SOL|4730|FCO00CORP0000C,5,1.0,0.4,0.4,20
schedule_slip_gt365,24,SOL|4730|FFAHC2990235B,3,0.0,0.0,0.0,15
schedule_slip_gt365,24,SOL|4730|TFTPMC000874B,6,0.5,0.0,0.3333333333333333,36
schedule_slip_gt365,24,SOL|4732|3QSAJB100001B,11,0.4,0.2777777777777778,0.4,178
schedule_slip_gt365,24,SOL|4732|6FECE6030292B,7,0.8571428571428571,0.0,0.6666666666666666,29
schedule_slip_gt365,24,SOL|4732|7FCBC4070066B,5,0.23529411764705882,0.0,0.3,87
schedule_slip_gt365,24,SOL|4732|7FCBH2070541B,3,0.380952380952381,0.380952380952381,0.4117647058823529,19
