label,model,bin,n,mean_forecast,observed
any_change,GBM plus the bidder's price,4.0,3812,0.5524780602346777,0.5052465897166841
any_change,GBM plus the bidder's price,5.0,3811,0.6353288606805843,0.6090265022303857
any_change,GBM plus the bidder's price,6.0,3811,0.7224096252480205,0.6796116504854369
any_change,GBM plus the bidder's price,7.0,3811,0.8095818650634943,0.7625295198110732
any_change,GBM plus the bidder's price,8.0,3811,0.8860198517761072,0.8291786932563632
any_change,GBM plus the bidder's price,9.0,3812,0.9471211637041164,0.8809024134312696
any_change,GBM plus the bidder's price and history,0.0,3812,0.16534951586574767,0.22324239244491081
any_change,GBM plus the bidder's price and history,1.0,3811,0.28314943982431967,0.27840461821044343
any_change,GBM plus the bidder's price and history,2.0,3811,0.3729129652730979,0.36499606402519025
any_change,GBM plus the bidder's price and history,3.0,3811,0.46321856792182486,0.4295460509052742
any_change,GBM plus the bidder's price and history,4.0,3812,0.5547071239788668,0.5123294858342078
any_change,GBM plus the bidder's price and history,5.0,3811,0.6443089656152361,0.6001049593282602
any_change,GBM plus the bidder's price and history,6.0,3811,0.7352416612193524,0.6803988454473892
any_change,GBM plus the bidder's price and history,7.0,3811,0.8186829333072555,0.7719758593545001
any_change,GBM plus the bidder's price and history,8.0,3811,0.8889206871875069,0.8249803201259512
any_change,GBM plus the bidder's price and history,9.0,3812,0.9482294933582224,0.8843126967471143
underexecuted,reference class,0.0,3309,0.08552304459312458,0.08854638863705047
underexecuted,reference class,1.0,3470,0.12844330355906894,0.161671469740634
underexecuted,reference class,2.0,3361,0.15874567584014493,0.1898244570068432
underexecuted,reference class,3.0,3174,0.1962012427217248,0.1947069943289225
underexecuted,reference class,4.0,3304,0.23505512286199937,0.25272397094430993
underexecuted,reference class,5.0,3260,0.2703346808060184,0.2901840490797546
underexecuted,reference class,6.0,3264,0.323591036222988,0.41482843137254904
underexecuted,reference class,7.0,3378,0.39696939209785514,0.5180580224985198
underexecuted,reference class,8.0,3279,0.45631921243694695,0.5794449527294907
underexecuted,reference class,9.0,3227,0.5597056990339494,0.6699721103191819
underexecuted,"GBM lot, no buyer history",0.0,3303,0.025797987965729463,0.04178019981834696
underexecuted,"GBM lot, no buyer history",1.0,3303,0.05816576839708018,0.09234029669996972
underexecuted,"GBM lot, no buyer history",2.0,3302,0.09536263087715831,0.13264688067837674
underexecuted,"GBM lot, no buyer history",3.0,3303,0.1384016085457682,0.1995155918861641
underexecuted,"GBM lot, no buyer history",4.0,3302,0.18964430726842477,0.26135675348273774
underexecuted,"GBM lot, no buyer history",5.0,3303,0.24948180878073994,0.32394792612776263
underexecuted,"GBM lot, no buyer history",6.0,3302,0.32538842826593106,0.4094488188976378
underexecuted,"GBM lot, no buyer history",7.0,3303,0.42034303904983195,0.5080230093854072
underexecuted,"GBM lot, no buyer history",8.0,3302,0.5390962334086328,0.6308298001211387
