split,label,subset,predictor,n,base_rate,auc,auc_within_buyer,buyers_contributing,auc_within_cpv_year,cpv_year_cells_contributing
test 2021 only (pre-invasion),value_growth_gt10,winner has 10 or more prior wins,winner's as-of win rate,10005,0.061169415292353826,0.5343639123558149,0.42348918868970614,217,0.5282981544078349,25
test 2021 only (pre-invasion),value_growth_gt10,winner has 10 or more prior wins,winner's price as a share of the expected value,10005,0.061169415292353826,0.5419583941316333,0.5928663832932914,217,0.5459836332970092,25
test 2021 only (pre-invasion),value_growth_gt10,winner has 10 or more prior wins,log lot value,10005,0.061169415292353826,0.49253276845711136,0.46839770837183514,217,0.5730115982869796,25
test 2021 only (pre-invasion),value_growth_gt10,buyer has 10 or more prior lots,buyer's as-of extension rate,14737,0.08577050960168284,0.4653241962123967,0.5931981936269535,340,0.5239872252074524,39
test 2021 only (pre-invasion),value_growth_gt10,buyer has 10 or more prior lots,winner's as-of extension rate,14737,0.08577050960168284,0.5012643077998472,0.5261695758067789,340,0.5316311772996811,39
test 2021 only (pre-invasion),value_growth_gt10,buyer has 10 or more prior lots,winner's as-of win rate,14737,0.08577050960168284,0.46648803349784423,0.4935178607672011,340,0.47361884243579455,39
test 2021 only (pre-invasion),value_growth_gt10,buyer has 10 or more prior lots,winner's price as a share of the expected value,14737,0.08577050960168284,0.5330953749975338,0.5590369393139841,340,0.5318151195969825,39
test 2021 only (pre-invasion),value_growth_gt10,buyer has 10 or more prior lots,log lot value,14737,0.08577050960168284,0.4610727256200164,0.524431702861782,340,0.5015500970678831,39
test 2021 only (pre-invasion),any_change,all test lots,buyer's as-of extension rate,29070,0.5611971104231166,0.5736540512387942,0.5808405065092125,2536,0.5511113524854515,46
test 2021 only (pre-invasion),any_change,all test lots,winner's as-of extension rate,29070,0.5611971104231166,0.5039719293745784,0.4755815607882194,2536,0.509569292922662,46
test 2021 only (pre-invasion),any_change,all test lots,winner's as-of win rate,29070,0.5611971104231166,0.4714150579604026,0.49593618837589815,2536,0.49283438521919515,46
test 2021 only (pre-invasion),any_change,all test lots,winner's price as a share of the expected value,29070,0.5611971104231166,0.49306360691959644,0.5244362239453653,2536,0.4734455234549277,46
test 2021 only (pre-invasion),any_change,all test lots,log lot value,29070,0.5611971104231166,0.6343904012671054,0.6499786583196984,2536,0.6383439551239514,46
test 2021 only (pre-invasion),any_change,winner has 10 or more prior wins,buyer's as-of extension rate,10005,0.6252873563218391,0.5956767073095025,0.5927777777777777,886,0.5372189086059349,38
test 2021 only (pre-invasion),any_change,winner has 10 or more prior wins,winner's as-of extension rate,10005,0.6252873563218391,0.4870061897153819,0.4723703703703704,886,0.4999808592351103,38
test 2021 only (pre-invasion),any_change,winner has 10 or more prior wins,winner's as-of win rate,10005,0.6252873563218391,0.42273984059858416,0.44622222222222224,886,0.4809095567986762,38
test 2021 only (pre-invasion),any_change,winner has 10 or more prior wins,winner's price as a share of the expected value,10005,0.6252873563218391,0.4480623221605898,0.47759259259259257,886,0.4294942207238914,38
test 2021 only (pre-invasion),any_change,winner has 10 or more prior wins,log lot value,10005,0.6252873563218391,0.6325955463656463,0.6392962962962963,886,0.6173200768100372,38
test 2021 only (pre-invasion),any_change,buyer has 10 or more prior lots,buyer's as-of extension rate,14737,0.5347764131098596,0.5849747639071682,0.5868606528330118,942,0.58916011197509,46
test 2021 only (pre-invasion),any_change,buyer has 10 or more prior lots,winner's as-of extension rate,14737,0.5347764131098596,0.5023670820639036,0.4708233255896366,942,0.5121033235387208,46
test 2021 only (pre-invasion),any_change,buyer has 10 or more prior lots,winner's as-of win rate,14737,0.5347764131098596,0.4865144143107724,0.5010434303264165,942,0.4928884804236063,46
test 2021 only (pre-invasion),any_change,buyer has 10 or more prior lots,winner's price as a share of the expected value,14737,0.5347764131098596,0.5253816821159911,0.5296393274796236,942,0.4906857618839873,46
test 2021 only (pre-invasion),any_change,buyer has 10 or more prior lots,log lot value,14737,0.5347764131098596,0.6357541556380447,0.6541471433633894,942,0.6444908512330947,46
test 2021 only (pre-invasion),underexecuted,all test lots,buyer's as-of extension rate,25276,0.31808830511156827,0.5593348419482999,0.5833256922794792,1985,0.5476386838808117,44
test 2021 only (pre-invasion),underexecuted,all test lots,winner's as-of extension rate,25276,0.31808830511156827,0.4819728629710579,0.39194021639464516,1985,0.5143025361362858,44
test 2021 only (pre-invasion),underexecuted,all test lots,winner's as-of win rate,25276,0.31808830511156827,0.4646480624840522,0.5202526132404182,1985,0.4734507043315296,44
test 2021 only (pre-invasion),underexecuted,all test lots,winner's price as a share of the expected value,25276,0.31808830511156827,0.4823251858311136,0.5233644324225197,1985,0.45575911454603296,44
test 2021 only (pre-invasion),underexecuted,all test lots,log lot value,25276,0.31808830511156827,0.6176780722749677,0.5981569778103796,1985,0.6274337243857171,44
test 2021 only (pre-invasion),underexecuted,winner has 10 or more prior wins,buyer's as-of extension rate,8749,0.3821008115213167,0.6047562789331582,0.5948836750788643,708,0.5362748986972696,35
test 2021 only (pre-invasion),underexecuted,winner has 10 or more prior wins,winner's as-of extension rate,8749,0.3821008115213167,0.4856919096661856,0.38347791798107256,708,0.5305769551399236,35
test 2021 only (pre-invasion),underexecuted,winner has 10 or more prior wins,winner's as-of win rate,8749,0.3821008115213167,0.4220224445666944,0.4811218454258675,708,0.45605008630279137,35
test 2021 only (pre-invasion),underexecuted,winner has 10 or more prior wins,winner's price as a share of the expected value,8749,0.3821008115213167,0.4499037143006701,0.5480086750788643,708,0.4159437798959043,35
test 2021 only (pre-invasion),underexecuted,winner has 10 or more prior wins,log lot value,8749,0.3821008115213167,0.6236689958720155,0.6140082807570978,708,0.5923840975138364,35
test 2021 only (pre-invasion),underexecuted,buyer has 10 or more prior lots,buyer's as-of extension rate,12990,0.30361816782140105,0.5778468759403705,0.5900898645773361,812,0.5729487870263279,44
test 2021 only (pre-invasion),underexecuted,buyer has 10 or more prior lots,winner's as-of extension rate,12990,0.30361816782140105,0.488115355525668,0.38012215574857944,812,0.5150491272221586,44
test 2021 only (pre-invasion),underexecuted,buyer has 10 or more prior lots,winner's as-of win rate,12990,0.30361816782140105,0.4870780749193103,0.5247190167463516,812,0.5007304678922869,44
test 2021 only (pre-invasion),underexecuted,buyer has 10 or more prior lots,winner's price as a share of the expected value,12990,0.30361816782140105,0.49525076418073233,0.5261833838143634,812,0.45555269313773694,44
test 2021 only (pre-invasion),underexecuted,buyer has 10 or more prior lots,log lot value,12990,0.30361816782140105,0.6262552055327761,0.5998335377606449,812,0.6362214072371939,44
test 2022 post-invasion,duration_extension,all test lots,buyer's as-of extension rate,5916,0.07302231237322515,0.6476213631574682,0.4624420913302449,150,0.628961322697739,33
test 2022 post-invasion,duration_extension,all test lots,winner's as-of extension rate,5916,0.07302231237322515,0.6316747203987357,0.5309397749834547,150,0.535659016169593,33
test 2022 post-invasion,duration_extension,all test lots,winner's as-of win rate,5916,0.07302231237322515,0.46563888720047547,0.4743547319655857,150,0.49862598286319,33
test 2022 post-invasion,duration_extension,all test lots,winner's price as a share of the expected value,5916,0.07302231237322515,0.5404343359132291,0.5598941098610192,150,0.5043382528646693,33
test 2022 post-invasion,duration_extension,all test lots,log lot value,5916,0.07302231237322515,0.6668405732501284,0.6772005294506949,150,0.6036543735278388,33
test 2022 post-invasion,duration_extension,winner has 10 or more prior wins,buyer's as-of extension rate,2431,0.053887289181406825,0.6652704945237305,0.4695121951219512,37,,18
test 2022 post-invasion,duration_extension,winner has 10 or more prior wins,winner's as-of extension rate,2431,0.053887289181406825,0.5938549618320611,0.3699186991869919,37,,18
test 2022 post-invasion,duration_extension,winner has 10 or more prior wins,winner's as-of win rate,2431,0.053887289181406825,0.4784301360769997,0.5772357723577236,37,,18
test 2022 post-invasion,duration_extension,winner has 10 or more prior wins,winner's price as a share of the expected value,2431,0.053887289181406825,0.53580816461998,0.5813008130081301,37,,18
test 2022 post-invasion,duration_extension,winner has 10 or more prior wins,log lot value,2431,0.053887289181406825,0.6358330567540658,0.6747967479674797,37,,18
test 2022 post-invasion,duration_extension,buyer has 10 or more prior lots,buyer's as-of extension rate,3337,0.08181000899011087,0.6843713836207309,0.46496049467536926,118,0.6642586859305125,31
